accepted_name,sources,synonym_count,synonyms,synonyms_detailed,contested_synonym_count,contested_synonyms,accepted_name_full,accepted_authority,family,genus,species,taxon_rank,description_year,cites_appendix,cites_full_note,wcvp_plant_name_id,wcvp_ipni_id,wfo_taxon_id,basionym,first_published,place_of_publication,geographic_area,classification,unique_to_source,raw_extras
Karma steyermarkii,wcvp,0,,,2,"Trichosalpinx steyermarkii, Tubella steyermarkii",Karma steyermarkii (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,steyermarkii,Species,2023,,,3305748,77322883-1,,208416,(2023),Harvard Pap. Bot.,Venezuela (Bolívar),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 67""}"
Karma strumifera,wcvp,0,,,2,"Trichosalpinx strumifera, Tubella strumifera",Karma strumifera (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,strumifera,Species,2023,,,3305746,77322884-1,,208418,(2023),Harvard Pap. Bot.,Ecuador (Zamora-Chinchipe),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 67""}"
Karma systremmata,wcvp,0,,,3,"Pleurothallis systremmata, Trichosalpinx systremmata, Tubella systremmata",Karma systremmata (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,systremmata,Species,2023,,,3305755,77322886-1,,161083,(2023),Harvard Pap. Bot.,S. Ecuador,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 67""}"
Karma tantilla,wcvp,0,,,3,"Pleurothallis tantilla, Trichosalpinx tantilla, Tubella tantilla",Karma tantilla (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,tantilla,Species,2023,,,3305784,77322887-1,,161089,(2023),Harvard Pap. Bot.,Panama,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 67""}"
Karma teaguei,wcvp,0,,,2,"Trichosalpinx teaguei, Tubella teaguei",Karma teaguei (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,teaguei,Species,2023,,,3305791,77322888-1,,208422,(2023),Harvard Pap. Bot.,Bolivia (La Paz),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma tenuiflora,wcvp,0,,,3,"Pleurothallis tenuiflora, Trichosalpinx tenuiflora, Tubella tenuiflora",Karma tenuiflora (Schltr.) Karremans,(Schltr.) Karremans,Orchidaceae,Karma,tenuiflora,Species,2023,,,3305770,77322889-1,,161102,(2023),Harvard Pap. Bot.,Bolivia (Santa Cruz),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma tenuis,wcvp,0,,,4,"Pleurothallis tenuis, Trichosalpinx tenuis, Trichosalpinx vertex, Tubella tenuis",Karma tenuis (C.Schweinf.) Karremans,(C.Schweinf.) Karremans,Orchidaceae,Karma,tenuis,Species,2023,,,3305769,77322890-1,,161106,(2023),Harvard Pap. Bot.,W. South America,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma teres,wcvp,0,,,2,"Trichosalpinx teres, Tubella teres",Karma teres (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,teres,Species,2023,,,3305780,77322891-1,,208426,(2023),Harvard Pap. Bot.,SE. Ecuador (Cord. del Cóndor),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma todziae,wcvp,0,,,2,"Trichosalpinx todziae, Tubella todziae",Karma todziae (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,todziae,Species,2023,,,3305722,77322892-1,,208427,(2023),Harvard Pap. Bot.,Costa Rica to W. Panama,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma trilobata,wcvp,0,,,3,"Pleurothallis trilobata, Trichosalpinx trilobata, Tubella trilobata",Karma trilobata (Fawc. & Rendle) Karremans,(Fawc. & Rendle) Karremans,Orchidaceae,Karma,trilobata,Species,2023,,,3305718,77322893-1,,161164,(2023),Harvard Pap. Bot.,Jamaica,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma tropida,wcvp,0,,,3,"Pleurothallis tropida, Trichosalpinx tropida, Tubella tropida",Karma tropida (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,tropida,Species,2023,,,3305720,77322894-1,,161180,(2023),Harvard Pap. Bot.,Panama,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma vagans,wcvp,0,,,3,"Pleurothallis vagans, Trichosalpinx vagans, Tubella vagans",Karma vagans (Garay & Dunst.) Karremans,(Garay & Dunst.) Karremans,Orchidaceae,Karma,vagans,Species,2023,,,3305716,77322895-1,,161217,(2023),Harvard Pap. Bot.,Colombia to Venezuela,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma webbiae,wcvp,0,,,2,"Trichosalpinx webbiae, Tubella webbiae",Karma webbiae (Luer & R.Escobar) Karremans,(Luer & R.Escobar) Karremans,Orchidaceae,Karma,webbiae,Species,2023,,,3305733,77322896-1,,208437,(2023),Harvard Pap. Bot.,Colombia (Antioquia),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma werneri,wcvp,0,,,2,"Trichosalpinx werneri, Tubella werneri",Karma werneri (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,werneri,Species,2023,,,3305740,77322897-1,,270760,(2023),Harvard Pap. Bot.,Ecuador,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma wilhelmii,wcvp,0,,,2,"Trichosalpinx wilhelmii, Tubella wilhelmii",Karma wilhelmii (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,wilhelmii,Species,2023,,,3305739,77322898-1,,208438,(2023),Harvard Pap. Bot.,"Ecuador (Pichincha, Napo)",unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Karma yanganensis,wcvp,0,,,3,"Pleurothallis yanganensis, Trichosalpinx yanganensis, Tubella yanganensis",Karma yanganensis (Luer) Karremans,(Luer) Karremans,Orchidaceae,Karma,yanganensis,Species,2023,,,3305737,77322899-1,,161289,(2023),Harvard Pap. Bot.,Ecuador (Loja),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 68""}"
Kefersteinia universitatis-tolimae,wcvp,0,,,0,,Kefersteinia universitatis-tolimae Sierra-Ariza,Sierra-Ariza,Orchidaceae,Kefersteinia,universitatis-tolimae,Species,2023,,,3315900,77334037-1,,<NA>,(2023),Harvard Pap. Bot.,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""28: 728""}"
Kingidium teenialis,cites_csv,0,,,0,,Kingidium teenialis (Lindl.) P.F.Hunt,(Lindl.) P.F.Hunt,Orchidaceae,Kingidium,teenialis,,,II,,,,,,,,"Bhutan,India,Myanmar",unambiguous_accepted,cites_csv,"{""All_DistributionISOCodes"": ""BT,IN,MM"", ""NativeDistributionFullNames"": ""Bhutan,India,Myanmar""}"
