accepted_name,sources,synonym_count,synonyms,synonyms_detailed,contested_synonym_count,contested_synonyms,accepted_name_full,accepted_authority,family,genus,species,taxon_rank,description_year,cites_appendix,cites_full_note,wcvp_plant_name_id,wcvp_ipni_id,wfo_taxon_id,basionym,first_published,place_of_publication,geographic_area,classification,unique_to_source,raw_extras
Aa figueroae,wcvp,0,,,0,,Aa figueroae Szlach. & S.Nowak,Szlach. & S.Nowak,Orchidaceae,Aa,figueroae,Species,2014,,,488946,77142651-1,,<NA>,(2014),Pl. Syst. Evol.,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""montane tropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""300: 1837""}"
Aa olivacea,wcvp,0,,,0,,"Aa olivacea D.Trujillo, Rob.Fern. & Edquén","D.Trujillo, Rob.Fern. & Edquén",Orchidaceae,Aa,olivacea,Species,2024,,,3311815,77352948-1,,<NA>,(2024),Lankesteriana,Peru,unambiguous_accepted,wcvp,"{""climate_description"": ""montane tropical"", ""lifeform_description"": ""perennial"", ""volume_and_page"": ""24: 246""}"
Aa tenebrosa,wcvp,0,,,0,,Aa tenebrosa C.M.Martín & Scrocchi,C.M.Martín & Scrocchi,Orchidaceae,Aa,tenebrosa,Species,2020,,,3322249,<NA>,,<NA>,(2020),Syst. Bot.,Argentina (Salta),unambiguous_accepted,wcvp,"{""climate_description"": ""subalpine or subarctic"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""45: 762""}"
Acianthera adiri,wfo,0,,,2,"Pleurothallis adirii, Specklinia adirii",Acianthera adiri (Brade) Pridgeon & M.W.Chase,(Brade) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,adiri,species,2001,,,,,wfo-0000337069,,Lindleyana 16: 241 (2001),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000276594"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1150292-2"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Updated scientificName from Acianthera adirii to Acianthera adiri, according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-217"", ""tplId"": ""kew-217422"", ""wfo_nomenclatural_status"": ""Valid""}"
Acianthera brachyloba,wfo,0,,,0,,Acianthera brachyloba (Hoehne) Pridgeon,(Hoehne) Pridgeon,Orchidaceae,Acianthera,brachyloba,species,2001,,,,,wfo-0001263741,,Lindleyana 16(4): 242 2001,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50210021 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50210021 >The Plant List v.1.0</a>"", ""tplId"": ""tro-50210021"", ""wfo_nomenclatural_status"": ""Valid""}"
Acianthera caucanensis,wcvp,0,,,0,,"Acianthera caucanensis Uribe Vélez, Sauleda & Szlach.","Uribe Vélez, Sauleda & Szlach.",Orchidaceae,Acianthera,caucanensis,Species,2022,,,3301208,77325268-1,,<NA>,(2022),New World Orchid. Nomencl. Notes,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""111: 1""}"
Acianthera hatakeyamae,wcvp,0,,,0,,Acianthera hatakeyamae Campacci & C.R.M.Silva,Campacci & C.R.M.Silva,Orchidaceae,Acianthera,hatakeyamae,Species,2023,,,3312077,77334529-1,,<NA>,(2023),Colet. Orquídeas Brasil.,Brazil (São Paulo),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""19: 766""}"
Acianthera kautskyi,wcvp,0,,,2,"Acianthera sudae, Cryptophoranthus kautskyi",Acianthera kautskyi (Pabst) Toscano & E.C.Smidt,(Pabst) Toscano & E.C.Smidt,Orchidaceae,Acianthera,kautskyi,Species,2023,,,3301347,77328816-1,,52112,(2023),Phytotaxa,"Brazil (Espírito Santo, Rio de Janeiro)",unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""620: 176""}"
Acianthera ortizii,wcvp,0,,,0,,"Acianthera ortizii Uribe Vélez, Sauleda & Szlach.","Uribe Vélez, Sauleda & Szlach.",Orchidaceae,Acianthera,ortizii,Species,2022,,,3301209,77325267-1,,<NA>,(2022),New World Orchid. Nomencl. Notes,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""110: 1""}"
Acianthera rzedowskiorum,wcvp,0,,,0,,Acianthera rzedowskiorum Solano & Karremans,Solano & Karremans,Orchidaceae,Acianthera,rzedowskiorum,Species,2023,,,3301435,77327927-1,,<NA>,(2023),Acta Bot. Mex.,Mexico (Chiapas),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""perennial or lithophyte"", ""volume_and_page"": ""130(2225): 15""}"
Adenoncos macranthus,wfo,0,,,0,,Adenoncos macranthus Schltr.,Schltr.,Orchidaceae,Adenoncos,macranthus,species,1925,,,,,wfo-0000772453,,Repert. Spec. Nov. Regni Veg. 21: 203 (1925),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:614918-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 21: 203. 1925 to Repert. Spec. Nov. Regni Veg. 21: 203 (1925), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep"", ""tplId"": ""kew-3111"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerangis bursiculata,wcvp,0,,,0,,Aerangis bursiculata Hermans,Hermans,Orchidaceae,Aerangis,bursiculata,Species,2024,,,3312048,77340869-1,,<NA>,(2024),Kew Bull.,Comoros,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphytic subshrub"", ""volume_and_page"": ""79: 718""}"
Aerangis divitiﬂora (Schltr.) P.J.Cribb & Carlsward,cites_pdf,3,"Angraecum divitiﬂorum Schltr., Chamaeangis divitiﬂora (Schltr.) Schltr., Microterangis divitiﬂora (Schltr.) Senghas","Angraecum divitiﬂorum Schltr. [Unknown; cites_pdf], Chamaeangis divitiﬂora (Schltr.) Schltr. [Unknown; cites_pdf], Microterangis divitiﬂora (Schltr.) Senghas [Unknown; cites_pdf]",0,,Aerangis divitiﬂora (Schltr.) P.J.Cribb & Carlsward,,Orchidaceae,Aerangis,divitiﬂora (Schltr.) P.J.Cribb & Carlsward,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""accepted_genus"": ""Aerangis"", ""page"": 34, ""y"": 180.1}"
Aerangis luteoalba var. rhodosticta,cites_pdf,0,,,6,"Aerangis albidorubra, Aerangis rhodosticta, Angorchis rhodosticta, Angraecum albidorubrum, Angraecum mirabile, Angraecum rhodostictum",Aerangis luteoalba var. rhodosticta (Kraenzl.) J.Stewart,(Kraenzl.) J.Stewart,Orchidaceae,Aerangis,luteoalba var. rhodosticta,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 12, ""y"": 204.0}"
Aerangis pallidiﬂora H.Perrier,cites_pdf,1,Angraecum ramulicolum,Angraecum ramulicolum [Unknown; cites_pdf],2,"Angraecum ramulicola, Boryangraecum ramulicola",Aerangis pallidiﬂora H.Perrier,,Orchidaceae,Aerangis,pallidiﬂora H.Perrier,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""accepted_genus"": ""Aerangis"", ""page"": 42, ""y"": 323.6}"
Aerangis polyura,wcvp,1,Angraecum polyurum,Angraecum polyurum [Homotypic; wcvp],4,"Aerangis anjoanensis, Aerangis karthalensis, Aerangis mooreana, Angraecum mooreanum",Aerangis polyura (Sander ex Mast.) Hermans,(Sander ex Mast.) Hermans,Orchidaceae,Aerangis,polyura,Species,2024,,,3312052,77341301-1,,3311975,(2024),Kew Bull.,Comoros,unambiguous_accepted,wcvp,"{""climate_description"": ""seasonally dry tropical"", ""lifeform_description"": ""epiphytic subshrub"", ""volume_and_page"": ""79: 777""}"
Aerangis verdickii var. rusituensis,cites_pdf,0,,,1,Aerangis rusituensis,Aerangis verdickii var. rusituensis (Fibeck & Dare) la Croix & P.J.Cribb,(Fibeck & Dare) la Croix & P.J.Cribb,Orchidaceae,Aerangis,verdickii var. rusituensis,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 14, ""y"": 682.2}"
Aerangis verdickii var. verdickii,cites_pdf,0,,,4,"Aerangis erythrura, Aerangis schliebenii, Angraecum augustum, Angraecum erythrurum",Aerangis verdickii var. verdickii,,Orchidaceae,Aerangis,verdickii var. verdickii,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 13, ""y"": 227.9}"
Aerangis x,cites_pdf,1,Angraecum x,Angraecum x [Unknown; cites_pdf],0,,Aerangis x primulina (Rolfe) H.Perrier,primulina (Rolfe) H.Perrier,Orchidaceae,Aerangis,x,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""accepted_genus"": ""Aerangis"", ""page"": 41, ""y"": 646.4}"
Aerangis ﬂexuosa (Ridl.) Schltr.,cites_pdf,2,"Angraecum ﬂexuosum (Ridl.) Rolfe, Radinocion ﬂexuosum Ridl.","Angraecum ﬂexuosum (Ridl.) Rolfe [Unknown; cites_pdf], Radinocion ﬂexuosum Ridl. [Unknown; cites_pdf]",2,"Aerangis elegans, Angraecum elegans",Aerangis ﬂexuosa (Ridl.) Schltr.,,Orchidaceae,Aerangis,ﬂexuosa (Ridl.) Schltr.,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 13, ""y"": 192.1}"
Aeranthes antennifera,cites_csv,0,,,0,,Aeranthes antennifera,,Orchidaceae,Aeranthes,antennifera,,,II,,,,,,,,,unambiguous_accepted,cites_csv,
Aeranthes arachnitis,wfo,0,,,4,"Aeranthes arachnites, Aeranthes hermannii, Dendrobium arachnites, Dendrorkis arachnodendris",Aeranthes arachnitis (Thouars) Lindl.,(Thouars) Lindl.,Orchidaceae,Aeranthes,arachnitis,species,1824,,,,,wfo-0000844505,,Bot. Reg. 10: t. 817 (1824),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000938440"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:615075-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Updated scientificnameAuthorship from (Thouars) Lindl. to Lindl., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-3904 >The Plant List v.1"", ""tplId"": ""kew-3904"", ""wfo_nomenclatural_status"": ""Valid""}"
Aeranthes bigibba,wcvp,0,,,0,,Aeranthes bigibba Hermans & Rajaov.,Hermans & Rajaov.,Orchidaceae,Aeranthes,bigibba,Species,2023,,,3305514,77331202-1,,<NA>,(2023),Orchids (West Palm Beach),Madagascar,unambiguous_accepted,wcvp,"{""climate_description"": ""seasonally dry tropical"", ""lifeform_description"": ""epiphytic perennial or subshrub"", ""volume_and_page"": ""92: 839""}"
Aeranthes grandiﬂora Lindl.,cites_pdf,1,Angraecum grandiﬂorum (Lindl.) auct.,Angraecum grandiﬂorum (Lindl.) auct. [Unknown; cites_pdf],0,,Aeranthes grandiﬂora Lindl.,,Orchidaceae,Aeranthes,grandiﬂora Lindl.,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""accepted_genus"": ""Aeranthes"", ""page"": 36, ""y"": 514.9}"
Aeranthes polyanthema,wfo,0,,,0,,Aeranthes polyanthema Ridl.,Ridl.,Orchidaceae,Aeranthes,polyanthema,species,1886,,,,,wfo-0000852581,,"J. Linn. Soc., Bot. 22: 121 (1886)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:615172-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from J. Linn. Soc., Bot. 22: 121. 1886 [1887 publ. 1886] to J. Linn. Soc., Bot. 22: 121 (1886), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla"", ""tplId"": ""kew-3982"", ""wfo_nomenclatural_status"": ""Valid""}"
Aeranthes strangulatus,wfo,0,,,0,,Aeranthes strangulatus Frapp. ex Cordem.,Frapp. ex Cordem.,Orchidaceae,Aeranthes,strangulatus,species,1895,,,,,wfo-0001222963,,Fl. Réunion : 192 (1895),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro Update namepublishedIn from Fl. Réunion 192 1895 to Fl. Réunion : 192 (1895), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50025537 >"", ""tplId"": ""tro-50025537"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides augustianum,wfo,0,,,0,,Aerides augustianum Rolfe,Rolfe,Orchidaceae,Aerides,augustianum,species,1889,,,,,wfo-0001223004,,Lindenia 5: 39 (1889),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:615200-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro Update namepublishedIn from Lindenia 5: 39 t. 210 1889 to Lindenia 5: 39 (1889), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50026256"", ""tplId"": ""tro-50026256"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides crassifolium,wfo,0,,,0,,Aerides crassifolium Parish & Rchb.f.,Parish & Rchb.f.,Orchidaceae,Aerides,crassifolium,species,1874,,,,,wfo-0001088095,,Trans. Linn. Soc. London 30(1): 145. 1874 [4 Jul 1874],,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro Updated namepublishedIn from Trans. Linn. Soc. London 30: 145 1874 to Trans. Linn. Soc. London 30(1): 145. 1874 [4 Jul 1874] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://ww"", ""tplId"": ""tro-23500017"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides crispum,wfo,0,,,0,,Aerides crispum Lindl.,Lindl.,Orchidaceae,Aerides,crispum,species,1832,,,,,wfo-0001088096,,Numer. List [Wallich] n. 7319. 1832,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro Updated namepublishedIn from Numer. List n. 7319 1832 to Numer. List [Wallich] n. 7319. 1832 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record"", ""tplId"": ""tro-23500018"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides inﬂexa Teijsm. & Binn.,cites_pdf,0,,,1,Aerides bernhardiana,Aerides inﬂexa Teijsm. & Binn.,,Orchidaceae,Aerides,inﬂexa Teijsm. & Binn.,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 16, ""y"": 132.3}"
Aerides jansoni,wfo,0,,,0,,Aerides × jansoni Rolfe,Rolfe,Orchidaceae,Aerides,jansoni,species,1890,,,,,wfo-0000863552,,"Gard. Chron., ser. 3, 7: 66 (1890)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:615253-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Gard. Chron. ser. 3, 7: 66. 1890 to Gard. Chron. , ser. 3, 7: 66 (1890), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/"", ""tplId"": ""kew-4086"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides macmorlandii,cites_csv,0,,,0,,Aerides macmorlandii B.S.Williams,B.S.Williams,Orchidaceae,Aerides,macmorlandii,,,II,,,,,,,,India,unambiguous_accepted,cites_csv,"{""All_DistributionISOCodes"": ""IN"", ""NativeDistributionFullNames"": ""India""}"
Aerides multiflorum,wfo,0,,,0,,Aerides multiflorum Roxb.,Roxb.,Orchidaceae,Aerides,multiflorum,species,,,,,,wfo-0001088121,,Fl. Ind. iii. 475.,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro Updated namePublishedIn from Fl. Ind., ed. 1820 3: 345 1823 to Fl. Ind. iii. 475. , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1"", ""tplId"": ""tro-23500561"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides multiﬂora Roxb.,cites_pdf,5,"Aerides aﬃnis Wall. ex J.Lindl., Aerides multiﬂora var. dactyloides M.Ahmed, Moyeen, Pasha & Aziz Khan., Aerides multiﬂora var. godefroyana (Rchb.f.) A.H.Kent, Aerides multiﬂora var. lobbii A.H.Kent, Aerides multiﬂora var. veitchii (B.S.Williams) A.H.Kent.","Aerides aﬃnis Wall. ex J.Lindl. [Unknown; cites_pdf], Aerides multiﬂora var. dactyloides M.Ahmed, Moyeen, Pasha & Aziz Khan. [Unknown; cites_pdf], Aerides multiﬂora var. godefroyana (Rchb.f.) A.H.Kent [Unknown; cites_pdf], Aerides multiﬂora var. lobbii A.H.Kent [Unknown; cites_pdf], Aerides multiﬂora var. veitchii (B.S.Williams) A.H.Kent. [Unknown; cites_pdf]",5,"Aerides godefroyana, Aerides lobbii, Aerides veitchii, Cleisostoma vacherotiana, Epidendrum geniculatum",Aerides multiﬂora Roxb.,,Orchidaceae,Aerides,multiﬂora Roxb.,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 15, ""y"": 598.5}"
Aerides obyrneana,wcvp,0,,,0,,Aerides obyrneana Metusala,Metusala,Orchidaceae,Aerides,obyrneana,Species,2024,,,3318008,77347488-1,,<NA>,(2024),Edinburgh J. Bot.,Sulawesi,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphytic subshrub"", ""volume_and_page"": ""81-2001: 2""}"
Aerides odoratum,wfo,0,,,0,,Aerides odoratum Reinw. ex Blume,Reinw. ex Blume,Orchidaceae,Aerides,odoratum,species,1848,,,,,wfo-0001088097,,Rumphia 4: 53 1848,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-23500021 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-23500021 >The Plant List v.1.0</a>"", ""tplId"": ""tro-23500021"", ""wfo_nomenclatural_status"": ""Valid""}"
Aerides roseum,wfo,0,,,0,,Aerides roseum Lodd. ex J.Paxton,Lodd. ex J.Paxton,Orchidaceae,Aerides,roseum,species,1853,,,,,wfo-0001223290,,"Paxt. Fl. Gard. 2: 109, pl. 60 1853",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50032231 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50032231 >The Plant List v.1.0</a>"", ""tplId"": ""tro-50032231"", ""wfo_nomenclatural_status"": ""Valid""}"
Aeridostachya junghunii,wfo,0,,,1,Eria junghuhnii,Aeridostachya junghunii (J.J.Sm.) Brieger,(J.J.Sm.) Brieger,Orchidaceae,Aeridostachya,junghunii,species,1981,,,,,wfo-0000878189,,"Orchideen Beschreib. Kult. Zücht., ed. 3, 1(11-12): 714 (1981)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000953120"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:908246-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Orchideen (Schlechter) 1(11-12): 714. 1981 to Orchideen Beschreib. Kult. Zücht. , ed. 3, 1(11-12): 714 (1981), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a h"", ""tplId"": ""kew-4226"", ""wfo_nomenclatural_status"": ""Valid""}"
Agrostophyllum dewildeorum,wcvp,0,,,0,,Agrostophyllum dewildeorum Ormerod,Ormerod,Orchidaceae,Agrostophyllum,dewildeorum,Species,2014,,,496119,77144901-1,,<NA>,(2014),Taiwania,Sumatera,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphytic rhizomatous subshrub"", ""volume_and_page"": ""59: 333""}"
Agrostophyllum djaratense,wcvp,0,,,0,,Agrostophyllum djaratense Schltr.,Schltr.,Orchidaceae,Agrostophyllum,djaratense,Species,1911,,,4870,615439-1,,<NA>,(1911),Beibl. Bot. Jahrb. Syst.,Pen. Malaysia (Perak) to Sumatera,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphytic rhizomatous subshrub"", ""volume_and_page"": ""104: 23""}"
Agrostophyllum potamophilum,wcvp,0,,,0,,Agrostophyllum potamophilum Schltr.,Schltr.,Orchidaceae,Agrostophyllum,potamophilum,Species,1912,,,4930,615493-1,,<NA>,(1912),Repert. Spec. Nov. Regni Veg. Beih.,Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphytic rhizomatous subshrub"", ""volume_and_page"": ""1: 271""}"
Anacamptis barlae,wcvp,0,,,3,"Anteriopaludorchis barlae, Orchis barlae, Paludomeulenia barlae","Anacamptis × barlae (E.G.Camus) Biagioli, Licheri & Medau","(E.G.Camus) Biagioli, Licheri & Medau",Orchidaceae,Anacamptis,barlae,Species,2024,,,3317986,77348202-1,,142253,(2024),GIROS Orch. Spont. Eur.,S. Europe,unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""hybrid"": true, ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""67: 10""}"
Anacamptis kallithea,wcvp,0,,,0,,Anacamptis × kallithea E.Klein & Güler,E.Klein & Güler,Orchidaceae,Anacamptis,kallithea,Species,2022,,,3302093,77313935-1,,<NA>,(2022),Res. Türkiye Fl.,Türkiye,unambiguous_accepted,wcvp,"{""climate_description"": ""temperate"", ""hybrid"": true, ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""3a: 310""}"
Anacamptis pauliana,wcvp,0,,,3,"Anterioherorchis pauliana, Orchis olida, Orchis pauliana",Anacamptis × pauliana (Malinv.) Biagioli,(Malinv.) Biagioli,Orchidaceae,Anacamptis,pauliana,Species,2024,,,3320248,77333233-1,,143058,(2024),GIROS Orch. Spont. Eur.,S. Europe,unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""hybrid"": true, ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""67: 11""}"
Anacamptis timbali,wfo,3,"Anteriopaludorchis timbali, Orchis timbali, Paludomeulenia timbali","Anteriopaludorchis timbali [Unknown; wfo], Orchis timbali [Unknown; wfo], Paludomeulenia timbali [Unknown; wfo]",10,"Anacamptis albuferensis, Anteriopaludorchis albuferensis, Anteriopaludorchis barlae, Orchis barlae, Orchis kelleriana, Orchis parvifolia, Orchis reinhardii, Orchis ugrinskyana, Paludomeulenia albuferensis, Paludomeulenia barlae",Anacamptis × timbali nothosubsp. × timbali,"(Velen.) H.Kretzschmar, Eccarius & H.Dietr.",Orchidaceae,Anacamptis,timbali,species,2007,,,,,wfo-0000804741,,"Orchid Gen. Anacamptis Orchis Neotinea, ed. 2: 428 (2007)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000260101"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77078861-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Orchid Gen. Anacamptis Orchis Neotinea 428. 2007 [31 Jan 2007] to Orchid Gen. Anacamptis Orchis Neotinea , ed. 2: 428 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be"", ""tplId"": ""kew-343074"", ""wfo_nomenclatural_status"": ""Valid""}"
Anacamptorchis bonnieriana,wcvp,1,Orchis bonnieriana,Orchis bonnieriana [Homotypic; wcvp],0,,× Anacamptorchis bonnieriana (E.G.Camus) B.Bock,(E.G.Camus) B.Bock,Orchidaceae,Anacamptorchis,bonnieriana,,,,,472023,,,,,,,unambiguous_accepted,wcvp,
Anamantoglossum almeriense,wcvp,1,Barlorchis almeriensis,Barlorchis almeriensis [Nomenclatural; wcvp],0,,× Anamantoglossum almeriense (Pallarés) J.M.H.Shaw,(Pallarés) J.M.H.Shaw,Orchidaceae,Anamantoglossum,almeriense,,,,,488981,,,,,,,unambiguous_accepted,wcvp,
Anathallis ochracea,wcvp,0,,,0,,Anathallis ochracea Sambin & Aucourd,Sambin & Aucourd,Orchidaceae,Anathallis,ochracea,Species,2023,,,3301667,77313415-1,,<NA>,(2023),"Richardiana, N.S.",French Guiana,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""7: 54""}"
Anathallis subulata,wcvp,0,,,0,,Anathallis subulata Sambin & Aucourd,Sambin & Aucourd,Orchidaceae,Anathallis,subulata,Species,2023,,,3301670,77313416-1,,<NA>,(2023),"Richardiana, N.S.",French Guiana,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""7: 62""}"
Andinia barba-caprina,wcvp,0,,,0,,Andinia barba-caprina Ocupa & S.Vieira-Uribe,Ocupa & S.Vieira-Uribe,Orchidaceae,Andinia,barba-caprina,Species,2021,,,3290397,77297707-1,,<NA>,(2021),Lankesteriana,Peru,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""21: 298""}"
