binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Liparis rectangularis,cites_csv,accepted,,78191,"H.Perrier, 1936",,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Liparis andringitrana)",explicit,1,2,Liparis andringitrana,"Liparis rectangularis H.Perrier, 1936"
Liparis reflexa,wcvp,accepted+synonym_of,Liparis angustilabris|Liparis swenssonii,113141,,,status_conflict,"accepted by cites_csv, cites_pdf, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis angustilabris, Liparis swenssonii)",explicit,5,3,Liparis angustilabris|Liparis swenssonii,
Liparis reflexa,wfo,accepted+synonym_of,Liparis angustilabris|Liparis swenssonii,wfo-0000228478,,,status_conflict,"accepted by cites_csv, cites_pdf, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis angustilabris, Liparis swenssonii)",explicit,5,3,Liparis angustilabris|Liparis swenssonii,
Liparis reflexa,cites_csv,accepted,,59744,"(R.Br.) Lindl., 1825",,status_conflict,"accepted by cites_csv, cites_pdf, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis angustilabris, Liparis swenssonii)",explicit,5,3,Liparis angustilabris|Liparis swenssonii,"Liparis reflexa (R.Br.) Lindl., 1825"
Liparis reflexa,cites_pdf,accepted,,,(R.Br.) Lindl.,,status_conflict,"accepted by cites_csv, cites_pdf, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis angustilabris, Liparis swenssonii)",implied_by_synonym_row,5,3,Liparis angustilabris|Liparis swenssonii,Liparis reflexa (R.Br.) Lindl.
Liparis reflexa,user_synonyms,accepted+synonym_of,Liparis angustilabris,18265,,Heterotypic,status_conflict,"accepted by cites_csv, cites_pdf, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis angustilabris, Liparis swenssonii)",explicit,5,3,Liparis angustilabris|Liparis swenssonii,Liparis reflexa var. cuneilabris
Liparis riparia,wcvp,synonym_of,Liparis condylobulbon,113154,J.J.Sm.,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis condylobulbon)",explicit,1,3,Liparis condylobulbon,Liparis riparia J.J.Sm.
Liparis riparia,wfo,synonym_of,Liparis condylobulbon,wfo-0000228492,J.J.Sm.,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis condylobulbon)",explicit,1,3,Liparis condylobulbon,Liparis riparia J.J.Sm.
Liparis riparia,cites_csv,accepted,,78292,"J.J.Sm., 1913",,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis condylobulbon)",explicit,1,3,Liparis condylobulbon,"Liparis riparia J.J.Sm., 1913"
Liparis riparia,user_synonyms,synonym_of,Liparis condylobulbon,8464,,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Liparis condylobulbon)",explicit,1,3,Liparis condylobulbon,Liparis riparia
