binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Lissochilus elliotii,wfo,synonym_of,Eulophia horsfallii|Eulophia sclerophylla,wfo-0000229326,(Rolfe) H.Perrier,Unknown,parent_conflict,"placed in 2 different parents: Eulophia horsfallii, Eulophia sclerophylla",explicit,0,2,Eulophia horsfallii|Eulophia sclerophylla,Lissochilus elliotii (Rolfe) H.Perrier
Lissochilus eylesii,wcvp,synonym_of,Eulophia angolensis,113927,Rendle,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus eylesii Rendle
Lissochilus eylesii,wfo,synonym_of,Eulophia angolensis,wfo-0000229333,Rendle,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus eylesii Rendle
Lissochilus eylesii,user_synonyms,synonym_of,Eulophia angolensis,14368,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus eylesii
Lissochilus flexuosus,wcvp,synonym_of,Eulophia clitellifera,113931,Schltr.,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus flexuosus Schltr.
Lissochilus flexuosus,wfo,synonym_of,Eulophia clitellifer,wfo-0000229338,Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus flexuosus Schltr.
Lissochilus flexuosus,user_synonyms,synonym_of,Eulophia clitellifera,14416,,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus flexuosus
Lissochilus friderici,wcvp,synonym_of,Eulophia friderici,113932,Rchb.f.,Homotypic,parent_conflict,"placed in 2 different parents: Eulophia friderici, Eulophia fridericii",explicit,0,2,Eulophia friderici|Eulophia fridericii,Lissochilus friderici Rchb.f.
Lissochilus friderici,wfo,synonym_of,Eulophia fridericii,wfo-0000229339,Rchb.f.,Unknown,parent_conflict,"placed in 2 different parents: Eulophia friderici, Eulophia fridericii",explicit,0,2,Eulophia friderici|Eulophia fridericii,Lissochilus friderici Rchb.f.
Lissochilus graniticus,wcvp,synonym_of,Eulophia granitica|Eulophia streptopetala,113941,Rchb.f.,Homotypic,parent_conflict,"placed in 2 different parents: Eulophia granitica, Eulophia streptopetala",explicit,0,2,Eulophia granitica|Eulophia streptopetala,Lissochilus graniticus Rchb.f.
